,price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
4,129000.0,70.0,-34.5846508988,-58.4546932614,Chacarita
9,87000.0,42.0,-34.6389789,-58.500115,Villa Luro
29,118000.0,54.0,-34.615847,-58.459957,Caballito
40,57000.0,42.0,-34.6252219,-58.3823825,Constitución
41,90000.0,50.0,-34.6106102,-58.4125107,Once
48,138000.0,74.0,-34.6038236,-58.4272911,Almagro
58,114000.0,32.0,-34.586103,-58.423963,Palermo
62,82000.0,50.0,-34.6265182557,-58.4724630529,Flores
70,166000.0,52.0,-34.5620844,-58.4566864,Belgrano
72,136500.0,71.0,-34.648143,-58.524277,Liniers
79,75000.0,36.0,-34.596715,-58.444045,Villa Crespo
88,68000.0,37.0,-34.599722,-58.430668,Villa Crespo
104,80000.0,55.0,-34.616182,-58.3926968,San Cristobal
131,125000.0,74.0,-34.6034659,-58.4159718,Almagro
140,120000.0,60.0,-34.6136992,-58.3897597,Congreso
142,145000.0,52.0,-34.5475074,-58.4842066,Saavedra
149,95000.0,57.0,-34.6087015,-58.4039197,Balvanera
170,155000.0,55.0,-34.5975665,-58.4410115,Villa Crespo
176,300000.0,90.0,-34.5670929999,-58.4470949374,Belgrano
178,95000.0,44.0,-34.645401,-58.4931185,Parque Avellaneda
192,82000.0,33.0,-34.6198687,-58.4242176,Almagro
193,129000.0,72.0,-34.618545,-58.443838,Caballito
200,280000.0,98.0,-34.5933599,-58.4124669,Recoleta
203,125151.86,45.0,-34.620556,-58.371667,San Telmo
208,103144.44,45.0,-34.552129,-58.46838,Nuñez
217,118885.0,35.0,-34.5620844,-58.4566864,Belgrano
223,190000.0,55.0,-34.5892291,-58.3909376,Recoleta
234,157000.0,74.0,-34.6206701,-58.4280921,Caballito
240,119000.0,50.0,-34.617869,-58.422687,Almagro
247,290000.0,82.0,-34.5972390007,-58.3975515537,Recoleta
253,149000.0,76.0,-34.6044029,-58.418703,Almagro
256,199000.0,63.0,-34.5628985,-58.4652556,Belgrano
273,74400.0,31.0,-34.6171601,-58.4566753,Caballito
282,130000.0,70.0,-34.624943,-58.416152,Almagro
283,140000.0,83.0,-34.5995053,-58.4019575,Barrio Norte
287,179869.0,71.0,-34.61098,-58.417856,Almagro
316,89000.0,33.0,-34.554535,-58.455713,Belgrano
319,80000.0,40.0,-34.6266557,-58.4562243,Flores
331,40711.36,34.0,-34.6076122891,-58.4401524326,Parque Centenario
338,84000.0,38.0,-34.603367,-58.4095145,Abasto
341,110000.0,44.0,-34.5987952,-58.431148,Villa Crespo
344,115000.0,67.0,-34.546801,-58.478304,Saavedra
357,137500.0,46.0,-34.5607997,-58.4661541,Belgrano
361,88000.0,33.0,-34.5990818,-58.3791226,Centro / Microcentro
366,115000.0,65.0,-34.6085660579,-58.39925557,Once
376,83000.0,40.0,,,
388,107000.0,64.0,-34.6055653,-58.4042304,Once
389,129500.0,46.0,-34.6050835,-58.4608111,Paternal
399,160000.0,48.0,-34.586177,-58.395407,Recoleta
412,97000.0,43.0,,,
417,84000.0,35.0,-34.5493135,-58.4646149,Nuñez
422,85000.0,38.0,-34.6200825,-58.3895203,San Cristobal
426,90000.0,35.0,-34.556844,-58.457941,Belgrano
429,27279.0,31.0,-34.5413289,-58.473409,Saavedra
