Province,ECD_Name,Clasification,Service Type,newOrRenewal,Registration Type,Partial Care Registration (PCR) Status,PCR Level,PCR Certificate Number,PCR issueDate,PCR expiryDate,Prog Registration Status,Prog Registration Level,Prog Registration issueDate,Prog Registration expiryDate,Prog Certificate Number,Land Owner,Building Owner,District Name,Fee Level,No. Children Enrolled,Equitable Share Subsidy,Children Subsidised Equitable Share,Conditional Grant Subsidy,Children Subsided Conditional Grant
Southern Cape,ECD 1,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC 20/00,2019/12/19,2024/12/31,Fully registered,GOLD,2019/12/19,2024/12/31,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 1,1,35,Yes,40,Yes,40
Southern Cape,ECD 2,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC 07/21,2021/03/31,2026/03/31,Fully registered,GOLD,2021/03/31,2026/03/31,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 3,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,2,31,No,,No,
Southern Cape,ECD 4,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 03/18,2019/09/25,2023/09/30,Conditionally registered,BRONZE,2019/09/25,2023/09/25,,Communal land (traditional),The ECD Programme,Disitrct 3,1,23,Yes,23,Yes,23
Southern Cape,ECD 5,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,5,No,,No,
Southern Cape,ECD 6,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 4,3,12,No,,No,
Southern Cape,ECD 7,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,BRONZE,DC02/17,2019/03/25,2022/07/30,Lapsed registration,BRONZE,2019/03/25,2022/07/30,,Other government institution (not municipality),Other government institution (not municipality),Disitrct 1,1,73,Yes,40,Yes,40
Southern Cape,ECD 8,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC07/18,2019/03/25,2023/11/30,Fully registered,GOLD,2019/03/25,2023/11/30,,Other,Other,Disitrct 1,4,60,No,,No,
Southern Cape,ECD 9,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC22/03,2020/10/29,2025/10/31,Conditionally registered,SILVER,2020/10/29,2025/10/31,,Not-for profit organisation,Not-for profit organisation,Disitrct 1,1,40,Yes,35,Yes,35
Southern Cape,ECD 10,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC11/08,2022/03/28,2025/03/31,Conditionally registered,SILVER,2022/03/28,2025/03/31,,Municipality,Don't know,Disitrct 1,1,33,Yes,33,Yes,33
Southern Cape,ECD 11,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,1,7,No,,No,
Southern Cape,ECD 12,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,2,8,No,,No,
Southern Cape,ECD 13,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,2,13,No,,No,
Southern Cape,ECD 14,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,SILVER,DC 25/07,2019/11/26,2022/11/30,Lapsed registration,SILVER,2019/11/26,2022/11/30,,Community Centre,Community Centre,Disitrct 3,1,98,Yes,98,No,
Southern Cape,ECD 15,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,15,No,,No,
